weekday,service,avg_ridership,weekday_name
0,access_a_ride,22424.92213114754,Monday
0,bridges_and_tunnels,834056.9713114754,Monday
0,bus,1089374.8811475409,Monday
0,lirr,148825.20491803277,Monday
0,metro_north,122430.5655737705,Monday
0,staten_island_railway,5145.860655737705,Monday
0,subway,2589534.094262295,Monday
1,access_a_ride,25427.676229508197,Tuesday
1,bridges_and_tunnels,854285.5327868853,Tuesday
1,bus,1182769.7540983607,Tuesday
1,lirr,164913.618852459,Tuesday
1,metro_north,140499.65573770492,Tuesday
1,staten_island_railway,5989.163934426229,Tuesday
1,subway,2919230.225409836,Tuesday
2,access_a_ride,26522.852459016394,Wednesday
2,bridges_and_tunnels,874921.3770491803,Wednesday
2,bus,1199697.8401639345,Wednesday
2,lirr,164926.50819672132,Wednesday
2,metro_north,139161.7131147541,Wednesday
2,staten_island_railway,6000.102459016393,Wednesday
2,subway,2984480.2459016396,Wednesday
3,access_a_ride,25639.176229508197,Thursday
3,bridges_and_tunnels,893041.0614754099,Thursday
3,bus,1168618.713114754,Thursday
3,lirr,160833.381147541,Thursday
3,metro_north,134066.19672131148,Thursday
3,staten_island_railway,5778.6598360655735,Thursday
3,subway,2935850.4836065574,Thursday
4,access_a_ride,24431.38683127572,Friday
4,bridges_and_tunnels,910006.3333333334,Friday
4,bus,1119867.880658436,Friday
4,lirr,155540.64197530865,Friday
4,metro_north,128058.37448559671,Friday
4,staten_island_railway,5055.860082304527,Friday
4,subway,2778517.074074074,Friday
5,access_a_ride,14906.390946502057,Saturday
5,bridges_and_tunnels,835709.2386831276,Saturday
5,bus,723295.6131687242,Saturday
5,lirr,84833.92181069958,Saturday
5,metro_north,77069.33333333333,Saturday
5,staten_island_railway,1679.7078189300412,Saturday
5,subway,1871843.7119341565,Saturday
6,access_a_ride,14219.696721311475,Sunday
6,bridges_and_tunnels,787340.9795081967,Sunday
6,bus,563752.8975409836,Sunday
6,lirr,71718.25,Sunday
6,metro_north,62831.05327868852,Sunday
6,staten_island_railway,1347.4303278688524,Sunday
6,subway,1482421.8524590165,Sunday
